#k-distance frequency[THz]
0.21836250 5.63714350
0.22099335 5.65289508
0.22362425 5.66707181
0.22625510 5.67969412
0.22888600 5.69078127
0.23151685 5.70035110
0.23414775 5.70841973
0.23677859 5.71500124
0.23940949 5.72010751
0.24204034 5.72374798
0.24467124 5.72592948
0.24730209 5.72665618
0.24730209 5.72665618
0.24995163 5.72869009
0.25260114 5.73478819
0.25525069 5.74493955
0.25790020 5.75912573
0.26054974 5.77732044
0.26319925 5.79948911
0.26584880 5.82558830
0.26849834 5.85556517
0.27114785 5.88935679
0.27379740 5.92688946
0.27644691 5.96807810
0.27909645 6.01282564
0.28174596 6.06102247
0.28439551 6.11254605
0.28704505 6.16726052
0.28969456 6.22501662
0.29234411 6.28565154
0.29499362 6.34898911
0.29764316 6.41484006
0.30029271 6.48300244
0.30294222 6.55326216
0.30559176 6.62539379
0.30824127 6.69916135
0.31089082 6.77431930
0.31354033 6.85061365
0.31618987 6.92778307
0.31883942 7.00556018
0.32148893 7.08367280
0.32413847 7.16184536
0.32678798 7.23980021
0.32943753 7.31725903
0.33208704 7.39394420
0.33473658 7.46958018
0.33473658 7.46958018
0.33738613 7.54389489
0.34003564 7.61662097
0.34268518 7.68749712
0.34533469 7.75626928
0.34798424 7.82269185
0.35063375 7.88652879
0.35328329 7.94755465
0.35593284 8.00555558
0.35858235 8.06033020
0.36123189 8.11169048
0.36388140 8.09869499
0.36653095 8.03636195
0.36918046 7.97264300
0.37183000 7.90753198
0.37447955 7.84102390
0.37712906 7.77311515
0.37977860 7.70380362
0.38242811 7.63308900
0.38507766 7.56097288
0.38772720 7.48745894
0.39037671 7.41255311
0.39302626 7.33626370
0.39567577 7.25860151
0.39832531 7.17957995
0.40097482 7.09921513
0.40362437 7.01752587
0.40627391 6.93453381
0.40892342 6.85026338
0.41157297 6.76474181
0.41422248 6.67799913
0.41687202 6.59006811
0.41952153 6.50098416
0.42217107 6.41078531
0.42482062 6.31951206
0.42747013 6.22720725
0.43011967 6.13391594
0.43276918 6.03968521
0.43541873 5.94456403
0.43806824 5.84860302
0.44071778 5.75185427
0.44336733 5.65437110
0.44601684 5.55620785
0.44866638 5.45741960
0.45131589 5.35806198
0.45396544 5.25819089
0.45661495 5.15786222
0.45926449 5.05713163
0.46191404 4.95605429
0.46456355 4.85468461
0.46721309 4.75307601
0.46986260 4.65128067
0.47251215 4.54934930
0.47516169 4.44733094
0.47781120 4.34527272
0.48046075 4.24321967
0.48311026 4.14121458
0.48575980 4.03929780
0.48840931 3.93750712
0.49105886 3.83587765
0.49370840 3.73444169
0.49635791 3.63322871
0.49900746 3.53226524
0.50165697 3.43157487
0.50430651 3.33117822
0.50695602 3.23109296
0.50960557 3.13133384
0.51225511 3.03191277
