cos_theta	alpha_TA	alpha_LA
0.963211	0.927575	0.978591
0.966555	0.927248	0.978648
0.969900	0.926922	0.978705
0.973244	0.926598	0.978761
0.976589	0.926277	0.978816
0.979933	0.925957	0.978871
0.983278	0.925639	0.978925
0.986622	0.925323	0.978979
0.989967	0.925008	0.979031
0.993311	0.924696	0.979083
0.996656	0.924385	0.979135
1.000000	0.924077	0.979186
